,lematized_tekst_en_titel_zonder_stopwords
10,"['vergoeding', 'verpakkingsafval', 'maandag_19_december_2022', 'gemeente', 'aandeel', 'openbaar_prullenbakk', 'vergoeding', 'inwoner', 'inwoneraantal', 'vergoeding', 'jaar', 'overeenstemming', 'vergoeding', 'betrekking', 'beheren', 'verwerking', 'gemeente', 'zwerfafvalvergoeding', 'zwerfafvalvergoeding', 'raamovereenkomst', 'vergoeding', 'vervolg', 'dekek', 'bestrijding', 'zwerfafval', 'gebiedsbeheerder', 'gemeente', 'kostenvergoeding', 'zwerfafval', 'kader', 'single', 'plastic', 'onderzoeksvrag', 'innamesysteem', 'verpakkingsafval', 'openbaar_prullenbakk', 'moment', 'gemeente', 'afval', 'toekomst', 'grondstof', 'verpakkingsketen']"
11,"['onbeperken', 'maandag_19_december_2022', 'minister', 'burgemeester', 'week', 'onbeperken', 'rol', 'samenleving', 'mens', 'beperking', 'verschil', 'realiseren', 'bedrijf', 'overheid', 'organisatie', 'afspraak', 'verschil', 'realiseren', 'leven', 'mens', 'beperking', 'wet', 'regelgeving', 'probleem', 'mens', 'beperking', 'overheidsinstantie', 'uitvoeringsorganisatie', 'rijksoverheid']"
12,"['specifiek_uitkering', 'gemeente', 'regiefunctie', 'miljoen', 'regeling', 'specifiek_uitkering', 'bekostiging', 'lokaal_aanpak', 'regiefunctie', 'gemeente', 'lokaal_aanpak', 'opgaven', 'digitaal_inclusie', 'hulp', 'inwoner', 'dienst', 'regeling', 'gemeente', 'specifiek_uitkering', 'financiering', 'realisatie', 'instandhouding', 'informatiepunt_digitaal_overheid', 'promotie', 'inwoner', 'regie', 'netwerk', 'organisatie', 'gemeente', 'reactie', 'inbreng', 'consultatie', 'consultatie', 'regeling', 'aandacht', 'indexering', 'middel', 'evaluatie', 'middel', 'budget', 'ido_s', 'jaar', 'vastligen', 'grond', 'spuk', 'miljoen', 'jaar', 'bedrag', 'aantal', 'inwoner', 'afronden', 'baten', 'aandacht', 'jaar', 'inkomst', 'informatiepunt', 'ministerie', 'overbruggingsregeling', 'gemeente', 'financieringsrol', 'bieden', 'overbruggingsregeling', 'miljoen', 'liquiditeitsproblem', 'continu_teit', 'bedrijfsvoering', 'gevaar', 'bibliotheek', 'actie', 'subsidie', 'verkrijg', 'handreiking', 'handreiking', 'publiceren', 'informatie', 'inrichting', 'werkzaamheid', 'praktijkvoorbeelid', 'beeld', 'rol', 'gemeente', 'richting', 'ido_s', 'rol', 'financier', 'bijeenkomst', 'project', 'regie_ido_s', 'gemeente', 'taak', 'kennisuitwisseling', 'bijeenkomst', 'regie', 'aandacht', 'spuk', 'website', 'gat', 'bijeenkomsten', 'lid', 'forum', 'digitaal_inclusie', 'informatie', 'regeling', 'specifiek_uitkering']"
13,"['toegang', 'rechtsbescherming', 'beperking', 'mens', 'beperking', 'toegang', 'rechtsbescherming', 'moment', 'spraak', 'college', 'mens', 'monitor', 'college', 'pleiten', 'concreet_maatregel', 'nationaal_actieplan', 'gelijkheid', 'toegankelijkheid', 'rechtsbescherming', 'college', 'jaar', 'monitor', 'stand', 'zaak', 'thema', 'toegang', 'rechter', 'betreffen', 'gelijkheid', 'toegankelijkheid', 'rechtsbescherming', 'arrestatie', 'verhoor', 'bezwaar', 'gemeente', 'klacht', 'verplichten', 'zorg', 'college', 'overheid', 'rechtsbescherming', 'mens', 'beperking', 'actieplan', 'concreet_maatregel', 'bevaten', 'aandacht', 'autonomie', 'participatie', 'toegankelijkheid', 'zin', 'toegankelijkheid', 'informatie', 'college', 'mens', 'monitor', 'hoofdstuk', 'monitor', 'bezwaarprocedure', 'gemeente', 'hoofdstuk', 'zorg']"
14,"['opvang', 'gemeente', 'taakstelling', 'resteren', 'achterstand', 'helft', 'statushouder', 'huisvesten', 'opgave', 'gemeente', 'huisvesting', 'oplossing', 'asielcrisis', 'waardering', 'bestuurder', 'realiseren', 'jaar', 'inzet', 'opvangcapaciteit', 'plek', 'voorjaar', 'crisisnoodopvangplekken', 'opvanglocatie', 'spreidingswet', 'verwachting', 'voorjaar', 'aantal', 'oekra_ners', 'toename', 'reactie', 'spreidingswet', 'uitvoering', 'afspraak', 'eind', 'invoering', 'wet', 'maatregel', 'asielket', 'tij', 'keren', 'asiellandschap', 'asiel', 'integratie', 'gemeente', 'financieringsregeling', 'plaats', 'flexwoning', 'huisvesting', 'statushouder', 'soelaas', 'situatie', 'asielopvang', 'naam', 'zorg', 'groep', 'vluchteling', 'huisvesten', 'kind', 'crisis', 'handreiking', 'gemeente', 'opvang', 'leeftijd', 'opvang', 'ministerie', 'jenv', 'ontwikkeling', 'aangeven', 'basis', 'toename', 'verblijv', 'opvanglocatie', 'gemeente', 'puzzel', 'organisatie', 'school', 'begeleidingsorganisatie', 'gesprek', 'ondersteuning', 'gesprek', 'ondersteuning', 'mogelijkheid', 'onderdak', 'bijpassen', 'voorziening']"
15,"['staatssecretaris', 'vrijdag_16_december_2022', 'staatssecretaris', 'woonplaatsbeginsel', 'zomerreces', 'doordecentralisatie', 'gemeente', 'oppositie', 'coalitiepartij', 'behandeling', 'kamercommissie', 'plaatsen', 'plan', 'oppositie', 'woordvoerder', 'partij', 'behandeling', 'brief', 'aanbieders', 'zorg', 'vraag', 'brief', 'gemeente', 'beweging', 'brief', 'gemeente', 'beweging', 'middel', 'mogelijkheid', 'centrumgemeenten', 'gemeente', 'mogelijkheid', 'twijfel', 'Kamer', 'deel', 'kamer', 'zorg', 'gemeente', 'aantal', 'kamerfractie', 'gemeente', 'doordecentralisering', 'controletaak', 'probleem', 'doordecentralisatie', 'probleem', 'probleem', 'vraag', 'lid', 'valente', 'mens', 'beweging', 'transformatie', 'mate', 'realiseren', 'stelsel', 'jeugdzorg', 'gemeente', 'ingebouwen', 'waarborg', 'decentralisatie', 'staatssecretaris', 'ingebouwen', 'waarborg', 'proces', 'decentralisatie', 'gat', 'jaar', 'tijd', 'verankering', 'gemeente', 'gemeente', 'inkopen', 'optie', 'middel', 'dordecentralisatie', 'gemeente', 'inclusie', 'koers', 'twijfel', 'Kamer', 'brief', 'rapportage', 'stelsel', 'scenario', 'doordecentralisatie', 'gemeente', 'bijdragen', 'inclusie', 'scenario', 'centrumgemeenten', 'bijdragen', 'kamerlid', 'hart']"
16,"['terugblik', 'bestuurvergadering', 'voorzitter', 'vergadering', 'vraag', 'bestuurlid', 'maand', 'bestuur', 'introductie', 'sharon', 'dijksma', 'burgemeester', 'week', 'vicevoorzitter', 'lef', 'Energie', 'slag', 'bestuurlid', 'commissie', 'samenleving', 'bord', 'gemeente', 'bord', 'bestuur', 'commissie', 'vereniging', 'ambitie', 'lef', 'energie', 'vicevoorzitter', 'enthousiasme', 'bestuurlijk_overleg', 'terugkoppeling', 'bestuurlijk_overleg', 'verhouding', 'minister', 'bruins', 'slot', 'koninkrijksrelatie', 'staatssecretaris', 'rij', 'eind', 'vervolg', 'agenda', 'financieringssystematiek', 'asiel', 'migratie', 'wassink', 'voorzitter', 'commissie', 'asiel', 'migratie', 'bestuur', 'spreidingswet', 'asiel', 'verbetersuggestie', 'raad', 'wet', 'consultatie', 'effectiviteit', 'wet', 'consultatie', 'samenwerking', 'coalitie', 'partij', 'staatssecretaris', 'volksgezondheid', 'welzijn', 'sport', 'actieplan', 'dakloosheid', 'partij', 'vng', 'tekenen', 'hervormingsagenda', 'jeugd', 'lidvergadering', 'motie', 'inzet', 'advies', 'commissie', 'jeugdstelsel', 'gemeente', 'zorg', 'jeugd', 'onderwijs', 'week', 'bestuurlijk_overleg', 'verwachting', 'leven', 'week', 'afspraak', 'bestuur', 'ledenvergadering', 'stemen', 'college_arbeidszaken', 'voorzitter', 'ton', 'verslag', 'cao', 'onderhandeling', 'slot', 'bestuurvergadering', 'bespreekken', 'onderwerp', 'omgevingswet', 'programma', 'minister', 'volkshuisvesting', 'ordening', 'minister', 'infrastructuur', 'week', 'bestuur', 'grijsen', 'ruimte', 'mobiliteit']"
17,"['Kamer', 'afwentelen', 'gemeente', 'gemeente', 'rol', 'inrichting', 'uitbreiden_producentenverantwoordelijkheid', 'kosten', 'afvalinzameling', 'verwerking', 'producent', 'inwoner', 'stroken', 'motie', 'producentenverantwoordelijkheid', 'uitbreiden_producentenverantwoordelijkheid', 'producent', 'afvalbeheer', 'product', 'markt', 'ontwerp', 'productie', 'afval', 'hergebruik', 'apparaat', 'motie', 'Kamer', 'verantwoordelijkheid', 'afvalbeleid', 'positie', 'invulling', 'uitvoering', 'afvalbeleid', 'dekking', 'kosten', 'gemeente', 'inwoner', 'Kamer', 'regering', 'uitbreiden_producentenverantwoordelijkheid', 'goed_positie_gemeente', 'goed_positie_gemeente', 'onderdeel', 'motie', 'gemeente', 'informatie', 'afvalbeheer', 'financi_le', 'prikkel']"
18,"['vrijdag_16_december_2022', 'aantal', 'gemeente', 'invloed', 'kiesgerechtigdheid', 'inwoner_stem', 'gemeente', 'stemmen', 'gedeelte', 'gemeente', 'waterschap', 'deel', 'loop', 'waterschapsgrenzen', 'gemeente', 'waterschap', 'postcode', 'behulp', 'postcodeoverzichten', 'kaart', 'waterschapsgrenzen', 'unie', 'opstellen', 'gemeente', 'waterschap', 'stemmen', 'waterschap', 'kaart', 'waterschapsgrenzen', 'format', 'geopackage', 'vragen', 'gemeente', 'waterschap', 'stap', 'stap', 'adres', 'waterschap', 'verkiezingsmodule', 'stap', 'informatie', 'informatie', 'naam', 'gemeente', 'overzicht', 'gemeente']"
19,"['khonraad', 'khonraad', 'onderdeel', 'visma', 'dienst', 'gemeente', 'instelling', 'uitvoering', 'wet', 'verplichten', 'wet', 'zorg', 'dwang', 'invloed', 'ontwikkeling', 'dienstverlening', 'dienst', 'uitvoering', 'khonraad', 'dienst', 'ondersteuning', 'werkproces', 'opleggen', 'situatie', 'geweld', 'kring', 'gemeente', 'instelling', 'afnemer', 'stichting', 'rvr', 'aansluiten', 'dienst', 'betrokkenheid', 'stem', 'invloed', 'ontwikkeling', 'dienstverlening', 'stem', 'richting', 'dienstverlener', 'gebruikersoverleg', 'termijn', 'organisatie', 'gebruikersvereniging', 'informatie', 'aanmelding', 'eind', 'gebruikersoverleg', 'khonraad', 'bijeenkomst', 'plannen', 'uur', 'gebruikersoverleg', 'contact', 'kenniscentrum', 'markt', 'overheid', 'kenniscentrum', 'marktenoverheid']"
